t,x,y,z,accuracy
1487862076.606,9.3841552734375,-30.0018310546875,-30.40618896484375,3.0
1487862076.622,8.13751220703125,-29.30755615234375,-29.46319580078125,3.0
1487862076.639,7.8704833984375,-29.156494140625,-29.26177978515625,3.0
1487862076.6560001,8.54339599609375,-28.8177490234375,-28.60870361328125,3.0
1487862076.673,8.60443115234375,-28.94439697265625,-29.0313720703125,3.0
1487862076.6890001,8.87908935546875,-29.4952392578125,-30.89752197265625,3.0
1487862076.706,8.2305908203125,-28.55377197265625,-30.82733154296875,3.0
1487862076.723,7.36541748046875,-27.29339599609375,-30.7342529296875,3.0
1487862076.74,7.36541748046875,-26.61590576171875,-30.5145263671875,3.0
1487862076.757,7.36541748046875,-26.27716064453125,-30.40618896484375,3.0
1487862076.773,7.2113037109375,-26.74102783203125,-32.34100341796875,3.0
1487862076.79,7.2174072265625,-26.74407958984375,-32.501220703125,3.0
1487862076.807,7.8704833984375,-25.4302978515625,-31.55059814453125,3.0
1487862076.8240001,7.916259765625,-25.6622314453125,-31.86187744140625,3.0
1487862076.841,8.038330078125,-26.27716064453125,-32.69500732421875,3.0
1487862076.857,7.000732421875,-26.10321044921875,-32.525634765625,3.0
1487862076.874,6.0211181640625,-25.93841552734375,-32.36846923828125,3.0
1487862076.891,6.78253173828125,-25.42724609375,-32.86285400390625,3.0
1487862076.908,7.02972412109375,-25.26092529296875,-33.0230712890625,3.0
1487862076.924,5.8563232421875,-24.41864013671875,-32.53326416015625,3.0
1487862076.941,5.97076416015625,-24.2950439453125,-32.76214599609375,3.0
1487862076.958,6.86187744140625,-23.3978271484375,-34.4940185546875,3.0
1487862076.9750001,6.73980712890625,-23.15673828125,-34.259033203125,3.0
1487862076.992,6.524658203125,-22.72186279296875,-33.83941650390625,3.0
1487862077.0080001,6.01806640625,-20.9930419921875,-35.50872802734375,3.0
1487862077.025,5.68389892578125,-19.842529296875,-36.61956787109375,3.0
1487862077.042,6.10809326171875,-19.70062255859375,-35.107421875,3.0
1487862077.059,6.18896484375,-19.67315673828125,-34.820556640625,3.0
1487862077.076,6.18896484375,-17.64068603515625,-36.7828369140625,3.0
1487862077.092,6.256103515625,-18.12591552734375,-36.7156982421875,3.0
1487862077.109,6.524658203125,-20.01190185546875,-36.45477294921875,3.0
1487862077.126,6.82373046875,-21.82464599609375,-35.4339599609375,3.0
1487862077.1430001,7.19757080078125,-24.0753173828125,-34.16748046875,3.0
1487862077.159,6.26983642578125,-25.24261474609375,-31.46514892578125,3.0
1487862077.176,5.85174560546875,-25.76904296875,-30.242919921875,3.0
1487862077.193,6.47735595703125,-30.4962158203125,-29.937744140625,3.0
1487862077.21,6.54144287109375,-30.79833984375,-29.86602783203125,3.0
1487862077.227,6.91070556640625,-29.58831787109375,-29.36248779296875,3.0
1487862077.243,6.91070556640625,-29.58831787109375,-29.36248779296875,3.0
1487862077.26,7.02972412109375,-28.98712158203125,-30.40618896484375,3.0
1487862077.277,7.476806640625,-29.43878173828125,-29.9713134765625,3.0
1487862077.2940001,7.8704833984375,-29.833984375,-29.58984375,3.0
1487862077.311,8.65020751953125,-29.833984375,-29.58984375,3.0
1487862077.3270001,8.87908935546875,-29.833984375,-29.58984375,3.0
1487862077.344,10.05706787109375,-28.30963134765625,-28.4454345703125,3.0
1487862077.361,9.80377197265625,-28.70330810546875,-28.33251953125,3.0
1487862077.378,8.2061767578125,-31.18743896484375,-27.6275634765625,3.0
1487862077.394,8.587646484375,-30.80291748046875,-27.75115966796875,3.0
1487862077.411,9.21630859375,-30.17120361328125,-27.9541015625,3.0
1487862077.428,9.9456787109375,-29.8583984375,-29.473876953125,3.0
1487862077.445,10.39276123046875,-29.66461181640625,-30.40618896484375,3.0
1487862077.4620001,7.928466796875,-28.643798828125,-29.7027587890625,3.0
1487862077.478,7.53326416015625,-28.47900390625,-29.58984375,3.0
1487862077.4950001,7.70263671875,-28.64837646484375,-31.060791015625,3.0
1487862077.512,7.55157470703125,-28.64837646484375,-30.83953857421875,3.0
1487862077.529,7.02972412109375,-28.64837646484375,-30.07965087890625,3.0
1487862077.546,7.26318359375,-28.2562255859375,-30.00335693359375,3.0
1487862077.562,7.53326416015625,-27.801513671875,-29.9163818359375,3.0
1487862077.579,6.93817138671875,-27.6824951171875,-30.4931640625,3.0
1487862077.596,6.6925048828125,-27.63214111328125,-30.7342529296875,3.0
1487862077.613,6.53228759765625,-26.5106201171875,-33.056640625,3.0
1487862077.629,6.53533935546875,-26.27105712890625,-33.17413330078125,3.0
1487862077.6460001,6.6925048828125,-23.90594482421875,-33.0230712890625,3.0
1487862077.663,6.11572265625,-23.64349365234375,-33.37860107421875,3.0
1487862077.68,4.8431396484375,-23.05908203125,-34.16748046875,3.0
1487862077.697,5.120849609375,-22.406005859375,-35.1593017578125,3.0
1487862077.713,5.34820556640625,-21.875,-35.9649658203125,3.0
1487862077.73,3.076171875,-18.243408203125,-36.61346435546875,3.0
1487862077.747,2.48870849609375,-17.30194091796875,-36.7828369140625,3.0
1487862077.764,4.5074462890625,-20.01190185546875,-36.7828369140625,3.0
1487862077.78,4.2694091796875,-20.14617919921875,-36.65313720703125,3.0
1487862077.797,2.9937744140625,-20.8587646484375,-35.9649658203125,3.0
1487862077.8140001,4.06341552734375,-21.80328369140625,-35.05401611328125,3.0
1487862077.831,5.68389892578125,-23.22845458984375,-33.6761474609375,3.0
1487862077.848,5.68389892578125,-24.09515380859375,-32.63092041015625,3.0
1487862077.864,5.68389892578125,-24.58343505859375,-32.04193115234375,3.0
1487862077.881,5.535888671875,-26.82342529296875,-32.18536376953125,3.0
1487862077.898,5.5145263671875,-27.12249755859375,-32.2052001953125,3.0
1487862077.915,4.8431396484375,-25.76904296875,-32.2052001953125,3.0
1487862077.932,5.41534423828125,-25.76904296875,-32.2845458984375,3.0
1487862077.948,7.19757080078125,-25.76904296875,-32.53173828125,3.0
1487862077.965,7.2784423828125,-27.00347900390625,-31.81610107421875,3.0
1487862077.982,7.36541748046875,-28.30963134765625,-31.060791015625,3.0
1487862077.999,8.09783935546875,-26.83258056640625,-31.060791015625,3.0
1487862078.015,8.3740234375,-26.27716064453125,-31.060791015625,3.0
